customer_id,full_name,gender,city,pet_preferences,date_of_birth,state
33,Beauregard Oswick,Male,Fresno,Dog,1984-08-24,CA
34,Boy Tankard,Male,Irvine,Cat,1975-04-17,CA
35,Nikolos Saladine,Male,San Francisco,Small Pets,1990-04-23,CA
36,Cyrille Langlais,Male,Irvine,Dog,1971-05-05,CA
37,Shelly Taillard,Female,Bakersfield,,1970-12-29,CA
38,Kean Veque,Male,Los Angeles,Cat,2002-01-06,CA
39,Ive Weathey,Male,San Diego,Dog,1967-02-08,CA
40,Shandee Shadbolt,Female,Los Angeles,Cat,1957-03-10,CA
41,Cherye Julyan,Female,San Diego,Cat,2002-09-21,CA
42,Jesselyn Chasemoore,Female,Santa Barbara,,1956-08-21,CA
43,Gusti O' Driscoll,Female,Bakersfield,Dog,1988-04-18,CA
44,Marja Thal,Female,Bakersfield,,1995-08-27,CA
45,Gilbertina Taysbil,Female,Sacramento,Dog,1967-10-27,CA
46,Vidovic Hatherley,Male,Bakersfield,Dog,1970-07-04,CA
47,Auguste Filyukov,Female,Los Angeles,Dog,1964-06-22,CA
48,Rosabelle Preshous,Female,Bakersfield,Exotic,1976-10-18,CA
49,Robbi Batham,Female,Oakland,Dog,1978-10-26,CA
50,Wallie Keppin,Male,Santa Barbara,Exotic,1965-01-22,CA
51,Reagan Addington,Male,Long Beach,Small Pets,1996-09-15,CA
52,Carney Pavier,Male,Santa Barbara,Exotic,1977-07-31,CA
53,Darbee O' Gara,Male,San Francisco,Cat,1988-08-19,CA
54,Lacie Brownsell,Female,San Francisco,Cat,2000-09-30,CA
55,Anthiathia Luetkemeyers,Female,Santa Barbara,Cat,1973-11-03,CA
56,Nickey Passie,Male,Los Angeles,Farm Animals,1990-12-22,CA
57,Zoe Balch,Female,Oakland,Cat,1955-04-30,CA
58,Devi Connelly,Female,Bakersfield,Dog,1984-08-01,CA
59,Somerset Pedrielli,Male,Santa Barbara,Cat,1976-05-31,CA
60,Bren Griffitts,Female,Fresno,Dog,1960-02-29,CA
61,Daron McKinna,Male,Sacramento,Dog,1995-09-14,CA
62,Rosemonde Siss,Female,Los Angeles,Cat,1964-03-23,CA
63,Chauncey Phuprate,Male,San Diego,Cat,2001-06-26,CA
64,Saundra Gilkes,Male,San Diego,,1956-06-01,CA
65,Haze Stopforth,Male,San Diego,Cat,1999-05-25,CA
66,Saul Arkow,Male,Irvine,Cat,1981-12-23,CA
67,Shena Sawfoot,Female,San Diego,Aquatic Pets,1989-07-12,CA
68,Lorena Orring,Female,Bakersfield,Dog,1970-08-22,CA
69,Lief Stannus,Male,Fresno,Dog,1963-03-20,CA
70,Salim Corp,Male,Sacramento,Cat,1960-05-20,CA
71,Falito Fairlamb,Male,Irvine,Dog,1998-11-12,CA
72,Nikkie Papaminas,Female,Oakland,Dog,2002-06-29,CA
73,Jazmin Wellfare,Female,Irvine,Dog,1994-05-21,CA
74,Irena Naismith,Female,San Francisco,Dog,1993-09-10,CA
75,Rania Graal,Female,Santa Barbara,Dog,1959-01-25,CA
76,Nate Mines,Male,San Francisco,Dog,1973-02-24,CA
77,Earl Eakeley,Male,Irvine,Cat,1990-02-07,CA
78,Pepillo Folley,Male,San Francisco,Cat,1956-09-17,CA
79,Ingrim Effaunt,Male,Fresno,Dog,1992-08-08,CA
80,Shani Maletratt,Female,Long Beach,Dog,1998-02-11,CA
81,Gerianna Barwood,Female,San Diego,Dog,1997-03-09,CA
82,Rodrique Dunnet,Male,Santa Barbara,,1991-12-29,CA
83,Rey Hamblyn,Female,Santa Barbara,Farm Animals,1978-11-16,CA
84,Danika Mannion,Female,Oakland,Dog,1975-04-27,CA
85,Teri Fitzackerley,Female,Irvine,Cat,1975-11-02,CA
86,Jo-ann Forton,Female,Santa Barbara,Dog,2004-05-20,CA
87,Dreddy Baggot,Female,Los Angeles,Cat,1993-01-21,CA
88,Sammy Smolan,Male,Irvine,Dog,2004-02-09,CA
89,Geordie McGunley,Male,Oakland,Cat,2003-06-24,CA
90,Trude Lyosik,Female,Oakland,Dog,2000-02-18,CA
91,Gerik Elliman,Male,San Diego,Cat,1971-10-09,CA
92,Alec Standbrooke,Male,Fresno,Cat,1989-09-03,CA
93,Jared Kinsley,Male,San Diego,Cat,1993-11-20,CA
94,Janaya Paye,Female,Bakersfield,Cat,1968-04-22,CA
95,Tybi Farrin,Female,San Diego,Dog,1975-05-27,CA
96,Corty Downey,Male,Fresno,Dog,1985-06-24,CA
97,Robinia Sparey,Female,Irvine,Cat,1985-08-05,CA
98,Anatola Sambles,Female,Fresno,Dog,1966-02-19,CA
99,Leupold Dunton,Male,San Diego,Dog,1997-02-08,CA
100,Cathleen Scallan,Female,Sacramento,Cat,1983-01-03,CA
101,Erny Brough,Male,Los Angeles,Cat,1999-01-31,CA
102,Elvyn Zarb,Male,Irvine,Cat,1965-11-19,CA
103,Estrellita Lorking,Female,Fresno,Farm Animals,1961-07-09,CA
104,Gordie Laight,Male,Irvine,Dog,1997-03-05,CA
105,Ky Charles,Male,San Diego,Dog,1973-12-30,CA
106,Ashton Geharke,Male,Long Beach,Cat,1998-12-07,CA
107,Arnold Addicote,Male,Long Beach,Cat,1989-06-10,CA
108,Joby Dulen,Female,Santa Barbara,Cat,2004-01-09,CA
109,Birgitta Denyukin,Female,Long Beach,Dog,1966-10-23,CA
110,Rochester Bielby,Male,Irvine,Dog,1993-01-03,CA
111,Mae Addison,Female,San Francisco,Cat,2000-09-14,CA
112,Carmel Jostan,Female,Los Angeles,Dog,1979-11-27,CA
113,Sherman Ayris,Male,San Diego,,1996-04-28,CA
114,Binni Pimblett,Female,Bakersfield,Cat,1985-12-07,CA
115,Ambur Valerius,Female,San Diego,Dog,1990-05-15,CA
116,Dennison Cauldwell,Male,Fresno,Dog,1998-04-03,CA
117,Aksel Bartolomeazzi,Male,Irvine,Dog,1973-08-05,CA
118,Laney Osichev,Male,Sacramento,Dog,1964-08-25,CA
119,Chaim Ruskin,Male,Santa Barbara,Dog,2000-10-01,CA
120,Tammy Mcettrick,Male,Fresno,Cat,1958-02-20,CA
121,Jamison Coulling,Male,Santa Barbara,Cat,1997-03-28,CA
122,Donnajean Stirzaker,Female,Bakersfield,Cat,1983-09-29,CA
123,Issy Veelers,Female,Oakland,Exotic,1999-12-21,CA
124,Charissa Kleinhandler,Female,Oakland,Dog,1992-11-08,CA
125,Abe Crowdy,Male,Santa Barbara,Dog,1972-02-23,CA
126,Celestyn Brickdale,Female,Sacramento,Cat,1991-03-20,CA
127,Belvia Brunesco,Female,Fresno,Dog,1992-06-06,CA
128,Cosimo Fairtlough,Male,San Francisco,Cat,1955-04-20,CA
129,Zolly Limmer,Male,Long Beach,Aquatic Pets,2001-11-02,CA
130,Drusie Songhurst,Female,Bakersfield,Dog,1994-12-13,CA
131,Flori Farmer,Female,San Francisco,No Preference,1972-04-19,CA
132,Hewie Morena,Male,Bakersfield,No Preference,1966-08-20,CA
133,Germaine Ivanilov,Male,Long Beach,Cat,1997-08-31,CA
134,Chelsy Gadeaux,Female,Bakersfield,Cat,1987-04-19,CA
135,Greer Klosser,Female,Fresno,No Preference,2003-03-19,CA
136,Nickey Filippazzo,Male,Santa Barbara,Dog,1969-08-03,CA
137,Darbie Bogue,Female,Irvine,,1973-07-02,CA
138,Francisco Wiburn,Male,Oakland,Dog,1978-01-02,CA
139,Irving Sentinella,Male,Irvine,Small Pets,1973-10-17,CA
140,Clare Broyd,Male,Bakersfield,Cat,1963-07-23,CA
141,Kit Bazely,Male,Oakland,Cat,1981-04-09,CA
142,Aubrette Longstaffe,Female,Oakland,Dog,1968-02-10,CA
143,Humberto Crayton,Male,Los Angeles,Dog,1985-02-22,CA
144,Dedie Massie,Female,Oakland,Cat,1987-03-09,CA
145,Hamnet Demangel,Male,Fresno,No Preference,1993-01-28,CA
146,Allard Lewcock,Male,San Diego,Exotic,1983-02-01,CA
147,Ossie Bum,Male,Irvine,,1977-10-08,CA
148,Jamal Jarrold,Male,Long Beach,Cat,1995-12-11,CA
149,Elden Melesk,Male,Oakland,Cat,1958-01-13,CA
150,Ashely Archbald,Female,Santa Barbara,Dog,1956-05-19,CA
151,Portie Pietasch,Male,Sacramento,Dog,1997-03-18,CA
152,Alessandro Mongain,Male,Fresno,No Preference,1962-01-02,CA
153,Pen Fairfoull,Male,Oakland,Dog,1977-02-15,CA
154,Paulie Sibbs,Male,Irvine,Cat,1986-03-18,CA
155,Lydia Perrygo,Female,Los Angeles,Cat,2005-07-22,CA
156,Florrie Pallent,Female,Santa Barbara,Cat,1970-05-01,CA
157,Mic Buttfield,Male,Oakland,Cat,1960-12-25,CA
158,Renata Blanket,Female,Fresno,Cat,1957-12-19,CA
159,Moses Joanaud,Male,Fresno,,2003-09-12,CA
160,Richie Pawelski,Male,Sacramento,No Preference,1999-12-09,CA
161,Feliza McCloch,Female,San Francisco,Dog,1999-12-06,CA
162,Gaylor Kliemann,Male,Long Beach,,1970-06-22,CA
163,Innis Abbet,Male,Santa Barbara,Cat,1959-03-01,CA
164,Josey Cleere,Female,Los Angeles,Dog,1993-10-11,CA
165,Anastassia Rowney,Female,Irvine,Cat,1998-11-23,CA
166,Noemi Spatig,Female,Bakersfield,Cat,1966-11-22,CA
167,Noby Midgley,Male,Long Beach,Farm Animals,1982-03-30,CA
168,Marten Nuss,Male,Oakland,Dog,2001-07-28,CA
169,Loralyn Lote,Female,Oakland,Dog,1983-05-04,CA
170,Corrinne Feild,Female,Santa Barbara,Cat,1980-09-12,CA
171,Tyler Gofford,Male,Irvine,Small Pets,1975-04-18,CA
172,Zeb Blaby,Male,Bakersfield,Small Pets,1961-08-07,CA
173,Debbi Guiton,Female,Irvine,Dog,1959-07-18,CA
174,Leon Peacey,Male,Long Beach,Cat,1986-07-21,CA
175,Adrien Crang,Male,San Francisco,Small Pets,1995-04-30,CA
176,Bonnee Tatteshall,Female,Long Beach,Cat,1977-01-17,CA
177,Obed Hadkins,Male,Bakersfield,Dog,1983-02-17,CA
178,Hyacinthe Muffin,Female,Sacramento,Cat,1989-04-08,CA
179,Rolfe Jeratt,Male,Los Angeles,Dog,1982-11-04,CA
180,Sinclair Bickford,Male,San Francisco,Dog,1960-03-07,CA
181,Perry Blanque,Female,Santa Barbara,Cat,1955-11-28,CA
182,Rudie Syer,Male,Santa Barbara,Cat,1988-11-29,CA
183,Kerr Robertis,Male,San Diego,Dog,1989-08-15,CA
184,Aristotle Bondy,Male,San Diego,Cat,1960-11-11,CA
185,Karen Novotni,Female,Oakland,Small Pets,1968-07-24,CA
186,Cassandra Gilogly,Female,Long Beach,Cat,1968-09-28,CA
187,Nickolas Woolatt,Male,San Diego,Cat,1989-03-15,CA
188,Richmound MacCoughen,Male,Fresno,Dog,1987-07-29,CA
189,Bride Van der Mark,Female,San Francisco,Cat,1968-05-21,CA
190,Perry Blodgetts,Female,Bakersfield,Dog,1974-05-03,CA
191,Heidie Conkay,Female,Los Angeles,Cat,1974-10-13,CA
192,Lauren Cassie,Male,San Diego,Cat,1971-02-22,CA
193,Tania Jarnell,Female,San Francisco,Dog,2000-07-28,CA
194,Roley Lamdin,Male,Los Angeles,Dog,1955-05-27,CA
195,Donica Frie,Female,Sacramento,Cat,1996-10-03,CA
196,Tarah Colliss,Female,Fresno,Cat,1985-07-05,CA
197,Raynard Kohlerman,Male,Fresno,,1982-11-17,CA
198,Gay Bauduccio,Male,Sacramento,Aquatic Pets,1956-02-27,CA
199,Kathleen Farquharson,Female,Irvine,Cat,1997-09-26,CA
200,Myles Jenckes,Male,Sacramento,Cat,1972-07-09,CA
201,Jacquette Graffin,Female,Sacramento,Dog,1959-02-24,CA
202,Eduino Delgardillo,Male,Los Angeles,Dog,1957-06-28,CA
203,Candra Hamon,Female,Oakland,Dog,1969-05-20,CA
204,Ilse Clench,Female,Fresno,Dog,2003-08-18,CA
205,Elnora Cookney,Female,Santa Barbara,Dog,1962-10-07,CA
206,Brewer Rydzynski,Male,Irvine,Dog,1965-09-19,CA
207,Gardner Labrenz,Male,Santa Barbara,Dog,1964-11-20,CA
208,Waly Bodycote,Female,Santa Barbara,No Preference,1999-04-03,CA
209,Erastus Baynham,Male,Irvine,Small Pets,1977-04-17,CA
210,Perri Furse,Female,Irvine,,1974-06-06,CA
211,Corbin Care,Male,Los Angeles,,2000-10-14,CA
212,Teador Pfeffer,Male,Fresno,Small Pets,1984-08-08,CA
213,Evie Kenwell,Female,Sacramento,Dog,2000-01-31,CA
214,Kimberley Logie,Female,Irvine,Cat,2001-12-15,CA
215,Lorne De Rechter,Female,Oakland,Cat,1981-09-26,CA
216,Raffaello Spaughton,Male,Sacramento,Dog,1959-10-29,CA
217,Tabby Ambroix,Female,Los Angeles,No Preference,1973-12-08,CA
218,Giorgia Whitworth,Female,Irvine,Small Pets,1957-07-03,CA
219,Jonathon Selley,Male,Santa Barbara,Dog,1979-06-21,CA
220,Aguste Greguoli,Male,Bakersfield,Aquatic Pets,1992-11-13,CA
221,Alica Cheeke,Female,San Diego,Cat,1974-02-12,CA
222,Jodi Leaming,Female,Fresno,Cat,1996-10-28,CA
223,Andrey Scanterbury,Male,Los Angeles,Aquatic Pets,1962-06-05,CA
224,Henriette Brech,Female,Bakersfield,,1968-06-27,CA
225,Bay Masse,Male,Los Angeles,Cat,2003-11-14,CA
226,Brandy Spaunton,Female,San Francisco,Dog,1979-08-27,CA
227,Tedman Farleigh,Male,Irvine,Dog,1973-10-06,CA
228,Sybyl Fowler,Female,Sacramento,Cat,1979-08-09,CA
229,Pascal Giddens,Male,San Francisco,Dog,1986-12-23,CA
230,Anjanette Coalburn,Female,Santa Barbara,Cat,2005-08-23,CA
231,Quintin Dicte,Male,San Diego,Cat,1972-06-04,CA
232,Hurley Yateman,Male,Sacramento,Dog,1966-11-29,CA
233,Howey Forster,Male,Bakersfield,,2005-12-07,CA
234,Domini Kightly,Female,San Francisco,Dog,1988-10-01,CA
235,Jami Gookes,Female,Bakersfield,Small Pets,2003-02-25,CA
236,Ross Tourville,Male,San Diego,Farm Animals,2000-09-27,CA
237,Lyndel Ghione,Female,Los Angeles,Small Pets,1989-04-15,CA
238,Tammie Casperri,Male,Long Beach,Dog,1979-07-04,CA
239,Costa Cleere,Male,Fresno,Small Pets,1993-01-27,CA
240,Michaela Boshere,Female,Fresno,Cat,1955-08-21,CA
241,Callie Sturley,Female,San Francisco,,1990-08-23,CA
242,Lindi Eite,Female,Fresno,Dog,1962-02-04,CA
243,Romona Bazell,Female,Santa Barbara,Cat,1974-09-28,CA
244,Krishna Joye,Male,Fresno,Dog,1978-08-07,CA
245,Lindy Churchouse,Female,Fresno,Small Pets,1986-09-26,CA
246,Sullivan Cordet,Male,Oakland,Exotic,1955-06-06,CA
247,Beniamino Valencia,Male,Los Angeles,Cat,1972-05-09,CA
248,Natalie Stilly,Female,Sacramento,Small Pets,1970-11-04,CA
249,Amerigo Dalston,Male,Long Beach,Cat,1995-11-15,CA
250,Fiona Jenik,Female,Sacramento,Cat,1972-04-17,CA
251,Judie Nizet,Female,Oakland,Dog,1959-07-30,CA
252,Pierson Presland,Male,Los Angeles,Aquatic Pets,1985-03-07,CA
253,Katleen Tomasini,Female,Fresno,Dog,1967-10-28,CA
254,Fraze Leser,Male,San Diego,,1972-10-22,CA
255,Florrie O'Crigane,Female,San Francisco,Dog,1977-12-05,CA
256,Joete De Andreis,Female,San Francisco,Dog,1992-01-19,CA
257,Willdon Boulding,Male,Irvine,Dog,1984-07-31,CA
258,Sorcha Demead,Female,Sacramento,Dog,1969-08-09,CA
259,Gwynne Stoite,Female,San Diego,No Preference,1978-11-26,CA
260,Eduard Lorenzini,Male,Santa Barbara,Dog,1989-05-25,CA
261,Amara Malek,Female,Bakersfield,Dog,1956-01-10,CA
262,Burton Bagley,Male,Sacramento,Cat,1959-09-30,CA
263,Vitia Roughan,Female,Irvine,Small Pets,1983-03-18,CA
264,Erastus Newbatt,Male,Los Angeles,Cat,1973-09-04,CA
265,Thurstan Maher,Male,Fresno,Exotic,1968-01-20,CA
266,Rice Gilliat,Male,Oakland,Cat,1982-08-03,CA
267,Kat Pordal,Female,San Francisco,No Preference,1968-06-09,CA
268,Reynard Hilbourne,Male,Long Beach,Dog,1993-06-12,CA
269,Peg Reilly,Female,Irvine,Cat,1963-02-23,CA
270,Leroi Lardge,Male,San Diego,Dog,1992-05-01,CA
271,Betti Prester,Female,Sacramento,Dog,1972-06-12,CA
272,Charo Gally,Female,Los Angeles,Dog,1976-09-24,CA
273,Milena Coldman,Female,Irvine,Dog,1984-07-30,CA
274,Orlando Iuorio,Male,Oakland,Cat,1960-12-24,CA
275,Deloria Lamacraft,Female,Irvine,Cat,1955-11-06,CA
276,Reade Oades,Male,San Diego,Cat,1961-01-09,CA
277,Glenda Bonhill,Female,Santa Barbara,Cat,1995-12-09,CA
278,Verina Cartwright,Female,Bakersfield,Dog,1962-10-01,CA
279,Caritta Brymham,Female,Sacramento,Small Pets,1976-01-05,CA
280,Consuela Gribbins,Female,Irvine,Small Pets,1973-04-29,CA
281,Aylmer Bennetto,Male,Sacramento,Dog,1959-04-22,CA
282,Lindsey Lunam,Male,Irvine,Dog,1960-09-13,CA
283,Elbertina Burchett,Female,Los Angeles,Exotic,1978-06-03,CA
284,Waldemar Giriardelli,Male,Fresno,Cat,1984-04-15,CA
285,Dave Czajkowski,Male,San Francisco,No Preference,1971-10-04,CA
286,Bonnibelle Makiver,Female,San Diego,Cat,1970-10-18,CA
287,Mari Gaskins,Female,Irvine,,1959-12-21,CA
288,Trace Basden,Male,Oakland,Dog,2001-06-10,CA
289,Orion Claxson,Male,Oakland,Cat,1976-08-17,CA
290,Homerus Handke,Male,Irvine,Cat,1959-01-09,CA
291,Sheela Brodest,Female,Sacramento,Farm Animals,1983-07-31,CA
292,Agata Solan,Female,Fresno,Cat,1968-08-15,CA
293,Rafaelia Bartali,Female,Los Angeles,Dog,1964-11-18,CA
294,Rickey Hall-Gough,Male,Fresno,Dog,1999-07-23,CA
295,Irwinn Saer,Male,Irvine,Dog,1975-01-28,CA
296,Rolland Longmaid,Male,San Diego,Cat,1989-09-18,CA
297,Clemmy Druett,Female,Sacramento,Cat,1955-10-29,CA
298,Lambert McCobb,Male,Los Angeles,Dog,1999-02-04,CA
299,Isahella Jaeggi,Female,Long Beach,Cat,1967-04-25,CA
300,Adan MacDwyer,Male,Oakland,Dog,2002-04-05,CA
301,Olivia Stoneham,Female,Santa Barbara,Cat,1970-04-29,CA
302,Caspar Escala,Male,San Francisco,Small Pets,1977-04-10,CA
303,Velvet Vowels,Female,Oakland,Dog,1970-12-24,CA
304,Quintina Vain,Female,Bakersfield,Small Pets,1998-12-17,CA
305,Cheslie Ipwell,Female,Bakersfield,Dog,2001-11-10,CA
306,Westley Purtell,Male,Sacramento,Cat,2001-12-21,CA
307,Nils Teape,Male,Los Angeles,Aquatic Pets,1989-12-09,CA
308,Dodie McCrone,Female,Los Angeles,Dog,1962-01-17,CA
309,Dorrie Swansborough,Female,Irvine,Cat,1962-01-31,CA
310,Kare Mc Harg,Female,Santa Barbara,Cat,1955-08-23,CA
311,Lothario Duesbury,Male,Santa Barbara,Cat,1965-06-15,CA
312,Leroi Flight,Male,Sacramento,Cat,1975-10-19,CA
313,Valaree Ugo,Female,Los Angeles,No Preference,1977-04-25,CA
314,Shalne Alliott,Female,Long Beach,Dog,1986-06-17,CA
315,Tod Scamel,Male,Oakland,Dog,1980-08-01,CA
316,Gloriane Brothwood,Female,Fresno,Cat,1961-11-03,CA
317,Augustine Kenworthey,Male,Irvine,Dog,1989-12-02,CA
318,Antonin Monery,Male,Fresno,Cat,1993-10-04,CA
319,Pincas Liversley,Male,Oakland,Cat,1968-06-11,CA
320,Elroy Simester,Male,Irvine,Exotic,1973-09-07,CA
321,Eba Chiddy,Female,San Diego,Aquatic Pets,1972-06-07,CA
322,Kennedy Foulkes,Male,Long Beach,No Preference,1974-12-16,CA
323,Syman Glenton,Male,San Diego,Farm Animals,1988-03-30,CA
324,Jenelle Borrowman,Female,Long Beach,No Preference,1991-05-22,CA
325,Bobbi Bridgewood,Female,San Diego,Dog,2002-09-03,CA
326,Magda Celes,Female,Fresno,Exotic,1966-05-14,CA
327,Leonanie Collingridge,Female,Los Angeles,,1990-06-09,CA
328,Kiah Rawnsley,Female,Bakersfield,Cat,1966-10-04,CA
329,Gael Ramirez,Male,Irvine,Cat,1986-06-23,CA
330,Baryram Chell,Male,Bakersfield,Cat,1963-01-29,CA
331,Montague Lias,Male,Long Beach,Dog,1984-03-20,CA
332,Pyotr Redfield,Male,Los Angeles,Cat,1955-06-11,CA
333,Janot Denning,Female,Los Angeles,No Preference,1980-12-30,CA
334,Deanna Cabena,Female,San Diego,Dog,1978-12-06,CA
335,Mackenzie Kirtlan,Male,Sacramento,Cat,1980-04-07,CA
336,Marie-ann Biever,Female,Oakland,Dog,1979-10-23,CA
337,Merlina Walworche,Female,Los Angeles,Dog,1985-03-27,CA
338,Hagan Harte,Male,Los Angeles,Cat,1980-08-16,CA
339,Agneta Delahunty,Female,San Francisco,No Preference,1987-02-11,CA
340,Kelwin Erington,Male,Fresno,Cat,1986-07-01,CA
341,Arlie McGilvra,Female,San Francisco,Dog,1962-09-05,CA
342,Gun Kahane,Male,Bakersfield,Dog,1960-04-09,CA
343,Breanne Knoble,Female,San Francisco,Dog,1970-06-10,CA
344,Jeanna Posselow,Female,San Francisco,Dog,2003-05-17,CA
345,Gaultiero Evill,Male,Fresno,Cat,1975-07-03,CA
346,Linda Klulisek,Female,Sacramento,Dog,1969-12-31,CA
347,Connie Livard,Male,San Diego,Exotic,1973-01-01,CA
348,Wyndham McDyer,Male,Los Angeles,Dog,1971-10-28,CA
349,Mariette Wildey,Female,Fresno,No Preference,1971-04-16,CA
350,Hurleigh Guiraud,Male,San Diego,Cat,1961-08-13,CA
351,Warde Pellington,Male,Santa Barbara,Cat,1959-11-10,CA
352,Charlie Hovington,Male,Oakland,Cat,1956-01-24,CA
353,Sybila Muspratt,Female,Oakland,Dog,1992-10-03,CA
354,Dotti Embling,Female,Oakland,Cat,1973-07-02,CA
355,Rockie Thomelin,Male,Oakland,Cat,1980-10-13,CA
356,Sabina Kerin,Female,San Francisco,Dog,1997-03-06,CA
357,Syman Laughlan,Male,Santa Barbara,Dog,1973-07-23,CA
358,Carlota Affleck,Female,San Diego,Cat,1975-07-13,CA
359,Marne Snoddy,Female,Los Angeles,Cat,2003-07-16,CA
360,Orbadiah Armal,Male,San Francisco,Dog,1957-12-01,CA
361,Barthel Cashell,Male,Oakland,Cat,1975-03-18,CA
362,Dan Cudiff,Male,San Diego,,2000-03-08,CA
363,Agustin Bonafacino,Male,Los Angeles,Dog,1982-08-07,CA
364,Fidelio Van der Kruys,Male,Long Beach,Dog,2001-10-27,CA
365,Bili Reedshaw,Female,Long Beach,Dog,1967-05-26,CA
366,Hildegaard Baggarley,Female,Santa Barbara,Dog,1984-03-21,CA
367,Dael Maykin,Male,Oakland,Cat,1957-09-22,CA
368,Vail Cooch,Male,Sacramento,Dog,1963-01-04,CA
369,Christie Piscopo,Female,San Diego,Cat,1998-02-25,CA
370,Vilhelmina Yerson,Female,Long Beach,,1968-01-15,CA
371,Suzanne Heard,Female,Oakland,Dog,2000-05-30,CA
372,Niles Whyborn,Male,Santa Barbara,No Preference,1972-07-14,CA
373,Latisha Tourville,Female,Bakersfield,Dog,1963-10-15,CA
374,Angelica Gentil,Female,San Diego,Exotic,1974-08-03,CA
375,Blaire Raiman,Female,Santa Barbara,No Preference,1992-09-26,CA
376,Bay Lanktree,Male,Santa Barbara,Dog,1965-09-10,CA
377,Carlita Barchrameev,Female,Bakersfield,Dog,1963-01-06,CA
378,Gottfried Heed,Male,San Francisco,Cat,1970-02-20,CA
379,Farlay Greetland,Male,Oakland,Cat,1976-03-18,CA
380,Horacio Swoffer,Male,Irvine,Cat,1958-05-09,CA
381,Sheppard Borthe,Male,San Francisco,Dog,1972-09-17,CA
382,Tommy Duguid,Male,San Francisco,Cat,2000-01-10,CA
383,Chantal Drew-Clifton,Female,Santa Barbara,Dog,1986-11-06,CA
384,Zandra Swayne,Female,Oakland,Cat,1988-09-07,CA
385,Chantal Sheer,Female,Santa Barbara,Dog,1979-07-10,CA
386,Sasha Pigeram,Female,Fresno,Cat,1983-06-18,CA
387,Jackqueline Dillicate,Female,Santa Barbara,Cat,1992-01-10,CA
388,Christean Fobidge,Female,Fresno,Farm Animals,1958-05-14,CA
389,Abigail Biggam,Female,Long Beach,Cat,1990-03-12,CA
390,Fanya Colter,Female,Irvine,Cat,2005-05-30,CA
391,Nerta Malcher,Female,Long Beach,No Preference,1977-11-14,CA
392,Oralie Tathacott,Female,Fresno,Dog,1970-11-24,CA
393,Sigrid Hearnaman,Female,Long Beach,Aquatic Pets,2002-07-12,CA
394,Cindelyn Trengrouse,Female,Fresno,Cat,1994-10-25,CA
395,Norry Pepper,Male,Bakersfield,Dog,1955-08-17,CA
396,Claudianus Gillingwater,Male,San Francisco,Dog,1987-10-06,CA
397,Gan Holme,Male,Sacramento,Cat,1958-01-10,CA
398,Melissa Tinsley,Female,Fresno,,1991-08-27,CA
399,Damara Seabourne,Female,Santa Barbara,Dog,1958-02-13,CA
400,El Bodker,Male,Sacramento,Cat,1998-03-15,CA
401,Corrianne Tesseyman,Female,Irvine,Cat,1987-03-29,CA
402,Hollis Voce,Male,Oakland,Cat,1988-11-14,CA
403,Haydon Bulcroft,Male,Long Beach,Small Pets,2000-02-08,CA
